Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
GU126414,0.109968,0.0,0.986659,0.907252,0.0,72.8293,0.0133411,6.55468,0.00523045,0.308596
Node28,0.143457,0.0887242,0.907677,0.0882353,0.0566622,411.1,0.0356613,3.04023,0.0406123,1.0
Node26,0.141154,0.113702,0.974981,0.11361,0.000152315,3333.13,0.0248662,2.63024,0.0524229,1.0
Node57,10.0,1.0,0.778852,0.890307,0.0,9999.46,0.221148,1.02817,0.155294,1.0
AY196350,10.0,0.869221,0.0,0.892825,0.0,1712.25,1.0,0.660895,0.208122,1.0
HM140840,10.0,1.0,0.648249,0.885314,0.0,538.111,0.351751,0.511019,0.237349,1.0
Node5,0.0412975,0.0221292,0.992352,0.113917,0.0,35.6867,0.00764758,0.302039,0.291303,1.0
AY378149,0.0329778,0.013441,0.984281,0.908871,0.0,3.23955,0.0157185,0.089089,0.382669,1.0
HM106982,10.0,1.0,0.476338,0.902696,0.0,10000.0,0.523662,0.0732262,0.393348,1.0
AY378148,0.964251,0.693977,0.736284,1.0,0.08439,1.49889,0.179326,-0.0117014,0.5,1.0
Node22,10.0,0.267079,1.99637e-05,0.944449,0.839499,21.5429,0.160481,-0.000643737,0.5,1.0
KJ002739,0.077937,0.017956,0.903512,0.0,0.00165127,0.826415,0.0948367,0.0,1.0,1.0
FJ804098,0.0385414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119838,0.0771952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056327,0.159739,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444022,0.191624,0.192774,0.210842,0.193144,0.789158,5.82915,0.0,0.0,1.0,1.0
EU444050,0.081053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002740,0.0298147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804097,0.208487,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node20,0.24258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613151,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JQ326260,0.301304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM208535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FJ804099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM140841,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node37,0.0149796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444023,0.0499135,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378150,0.0318124,0.0319027,0.619943,0.0319816,0.163953,0.032383,0.216104,0.0,1.0,1.0
EU444051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU444052,0.0327427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY378147,0.103706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GU132995,0.217854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node49,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node47,0.0469615,0.0031071,0.762543,0.202917,0.237457,0.294507,0.0,0.0,1.0,1.0
DQ119839,0.107907,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EU056328,0.0437538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node52,0.0310866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node44,0.0785657,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node42,0.154054,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node40,0.0175894,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node34,0.136909,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node30,10.0,0.000211907,0.905492,0.905492,1.26469e-05,8.09013,0.0944951,0.0,1.0,1.0
HM208536,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
HM106983,0.455024,0.458787,0.898962,0.459853,0.101038,1.63066,0.0,0.0,1.0,1.0
JQ326261,0.0992922,0.100086,1.0,0.133587,0.0,0.214375,0.0,0.0,1.0,1.0
Node55,0.151577,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node25,0.241902,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node19,0.118526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node13,0.0508096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.0525521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node7,0.115214,0.0,0.473026,0.0,0.22991,0.478558,0.297064,0.0,1.0,1.0
Node3,0.252873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
