Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node31,0.128269,0.0130659,0.977458,0.0155179,0.0122392,79.562,0.0103023,8.1182,0.00219115,0.0810724
GU123627,0.0803578,0.0,0.979914,0.0,0.00515118,38.3757,0.0149353,2.70181,0.0501171,1.0
Node1,0.275557,0.0,0.893428,0.890265,0.0,3.2473,0.106572,1.84945,0.0869236,1.0
JN613149,10.0,1.0,0.848578,0.957083,0.0,5035.26,0.151422,0.596107,0.220034,1.0
KJ819938,2.1275,0.849137,0.77133,1.0,0.00626106,8.52065,0.222409,0.00916957,0.461856,1.0
KJ002745,0.176009,0.0524286,0.867488,0.988392,0.0,1.27857,0.132512,-0.0106059,0.5,1.0
AF234617,0.0836349,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.166968,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GU123626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,0.000134714,0.926766,0.922926,9.86565e-06,11.8656,0.0732241,0.0,1.0,1.0
Node14,0.114102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node10,0.129734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017702,0.119213,0.11286,0.917916,0.144951,0.0820836,12.0355,0.0,0.0,1.0,1.0
Node9,0.0627276,0.0716218,0.923767,0.136467,0.0739597,0.0737256,0.00227295,0.0,1.0,1.0
Node7,0.0856015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002747,0.0329308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node21,0.374464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119840,0.0130533,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205496,0.087969,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node20,0.109517,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.0313897,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node5,0.0958291,0.0550395,0.912143,1.0,0.0817123,0.0538589,0.0061452,0.0,1.0,1.0
DQ119841,0.154072,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205497,0.120178,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node28,0.10908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.0307998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.343212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN983500,0.0994846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node2,0.802411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613150,0.180899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
