Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node10,0.132317,0.0144881,0.958262,0.00119517,0.0310975,88.0184,0.0106401,8.54157,0.00173563,0.0746322
KJ002745,0.202348,0.144504,0.892793,0.431692,0.0525413,665.733,0.054666,6.6861,0.00485838,0.204052
Node5,0.400006,0.0,0.907307,0.0,0.000165726,5.46638,0.0925268,3.22876,0.0361776,1.0
GU123627,0.0779017,0.0,0.956542,0.0,0.0208424,8.61955,0.0226155,1.51018,0.109556,1.0
KF914208,0.0134583,0.00069783,0.917867,0.00245122,0.0734868,6.60467,0.00864652,1.32043,0.125257,1.0
Node17,0.0886935,0.0791319,0.973204,0.980176,0.0,501.451,0.0267956,1.23204,0.133505,1.0
JN613149,10.0,1.0,0.653323,0.997806,0.0,1064.84,0.346677,1.17107,0.139591,1.0
KJ002748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819938,0.268886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914206,0.237331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN613150,0.176615,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN983500,0.0957673,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205497,0.123221,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119841,0.145882,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node14,0.110988,0.0992302,0.361532,0.532186,0.0,0.0952652,0.638468,0.0,1.0,1.0
KF914209,0.0520137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017702,0.105292,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF234617,0.0797862,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,0.0002,0.9808,0.9808,3.84e-06,109.166,0.0191962,0.0,1.0,1.0
GU123626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node27,0.088703,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0178865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.184809,0.173449,0.586671,0.20336,0.413329,49.6731,0.0,0.0,1.0,1.0
Node32,0.251218,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node26,0.16781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.0803488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node22,0.0459187,0.0458539,0.408489,0.0490823,0.591511,49.6731,0.0,0.0,1.0,1.0
Node20,0.181628,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002747,0.0381237,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node38,0.215068,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205496,0.113493,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119840,0.0246687,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node37,0.179063,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node35,0.0875163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node19,0.108798,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node13,0.0309376,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.37193,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node7,0.776731,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.0676767,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
