Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node36,0.210158,0.0615084,0.99121,0.0613757,0.000989664,263.701,0.00780011,9.24979,0.00117761,0.0553478
Node43,0.37256,0.0,0.900033,0.0,0.00248723,4.69843,0.0974801,2.74722,0.0487117,1.0
AY177693,0.388849,0.0,0.923628,0.0,0.0197131,9.92161,0.0566585,1.97452,0.0799846,1.0
EU869310,0.0790505,0.063122,0.992863,0.0631029,2.98106e-06,32.9989,0.0071336,1.65094,0.0994157,1.0
Node11,0.0771123,0.0214699,0.961842,0.0265998,0.0265349,8.83085,0.0116234,1.24259,0.132486,1.0
Node20,0.101258,0.0827406,0.967486,0.0836971,0.0168592,643.119,0.015655,0.866941,0.175902,1.0
Node6,10.0,1.0,0.262785,0.999938,0.0,584.587,0.737215,0.346193,0.278138,1.0
AY522502,0.105191,0.0076069,0.892765,1.0,0.00121486,1.47805,0.10602,0.269862,0.301712,1.0
Node3,0.254601,0.0,0.795442,0.995097,0.0,1.57132,0.204558,0.210219,0.323298,1.0
AJ430639,0.212385,0.155559,0.94351,0.155904,0.00459615,5.80062,0.0518935,0.138255,0.355011,1.0
AF151693,0.0906833,0.047249,0.970645,0.042382,0.0,2.65946,0.0293552,0.0279271,0.43364,1.0
AJ132209,0.0592713,0.0094787,0.716102,0.212011,0.269935,63.9789,0.013963,0.0218348,0.441264,1.0
Node8,0.175916,0.133389,0.936004,0.127948,0.0537724,6.61587,0.0102237,0.00360116,0.476074,1.0
Node33,0.0,0.000488498,0.855496,0.900518,0.000110031,10.0823,0.144394,-0.000655744,0.5,1.0
NM001111908,0.108064,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
NM001111909,0.0191508,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GQ214164,0.0566004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AY114304,0.0380823,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF492455,0.00944901,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
X79280,0.193669,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node18,0.028459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node16,0.0918906,0.0148697,0.814042,1.0,0.168639,0.224496,0.0173198,0.0,1.0,1.0
JX205497,0.121258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119841,0.124803,0.118824,0.0,0.126569,1.0,9.75252,0.0,0.0,1.0,1.0
Node23,0.0474227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.340933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914205,0.0480664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AB079260,0.0692692,0.0695522,0.886434,0.0699033,0.113566,6.25605,0.0,0.0,1.0,1.0
AB175825,0.0416203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF194335,0.141625,0.0,0.749715,0.957904,0.104196,0.533709,0.146089,0.0,1.0,1.0
Node30,0.0305213,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node28,0.0191655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node26,0.0329632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node14,0.701506,0.913991,1.0,0.858315,0.0,0.819546,0.0,0.0,1.0,1.0
Node12,0.0228117,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN983500,0.0998558,0.0943839,1.0,0.106379,0.0,0.781407,0.0,0.0,1.0,1.0
JN613150,0.166271,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KF914206,0.23882,0.239907,0.502274,0.241545,0.497726,1.23446,0.0,0.0,1.0,1.0
KJ002748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819938,0.203791,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node45,0.0665624,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node41,0.552276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node39,0.240363,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node35,0.068936,0.0722572,0.6119,0.902483,0.0,0.0727249,0.3881,0.0,1.0,1.0
Node5,0.275983,0.0,0.607792,0.872434,0.313336,0.739548,0.0788714,0.0,1.0,1.0
