Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node102,0.135952,0.06736,0.96,0.0801652,0.0282429,10000.0,0.0117571,5.53203,0.0093357,1.0
Node114,0.127801,0.0,0.986646,0.0,0.00801796,62.6145,0.00533637,5.45259,0.00976965,1.0
GU126414,0.0810942,0.0,0.99264,0.9808,0.0,26.6285,0.00736001,4.79158,0.0142996,1.0
Node74,0.058712,0.0,0.993449,0.9808,0.0,277.616,0.00655088,4.0189,0.0224965,1.0
Node14,0.966273,1.0,0.963051,1.0,0.0101783,692.868,0.0267703,3.95691,0.0233397,1.0
AB232664,0.0713998,0.0128984,0.992675,0.0166314,0.0,3333.11,0.00732495,2.9088,0.0440488,1.0
Node35,0.129575,0.0860809,0.955189,0.084797,0.0174895,555.059,0.0273211,2.48433,0.0574927,1.0
FJ804106,0.158115,0.0630988,0.790358,0.43326,0.19597,51.2074,0.0136722,1.74468,0.0932734,1.0
Node87,10.0,1.0,0.565835,1.0,0.114851,9983.72,0.319314,1.05468,0.152216,1.0
AY196350,10.0,0.998835,0.0,0.998835,0.0,1899.77,1.0,0.548771,0.22941,1.0
HM106984,10.0,1.0,0.0951634,1.0,0.00351086,60.289,0.901326,0.517996,0.235849,1.0
HM140840,10.0,1.0,0.767886,0.998835,1.41034e-05,4859.54,0.2321,0.510048,0.237559,1.0
Node60,0.147274,0.0,0.927366,0.653288,0.0,2.34531,0.072634,0.437612,0.254139,1.0
Node92,10.0,1.0,0.840218,1.0,0.00103763,3077.12,0.158744,0.373072,0.270667,1.0
JN613151,3.02512,0.986063,0.0,0.998835,0.0,15.7469,1.0,0.119443,0.36482,1.0
HM106982,10.0,1.0,0.85809,0.998634,0.0,1634.03,0.14191,0.111324,0.369321,1.0
FJ804112,0.110262,0.0889385,0.987765,0.106489,0.0,3.97714,0.0122352,0.0991376,0.376433,1.0
Node15,10.0,0.998634,0.0,0.972044,0.0,6.06953,1.0,0.0862441,0.384504,1.0
AY378149,0.0447089,0.0358295,0.993397,0.980204,0.0,5.43499,0.00660309,0.035522,0.425253,1.0
AB857727,0.210252,0.0821547,0.89269,0.980019,0.0,1.70758,0.10731,-0.043921,0.5,1.0
