Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
GU123627,0.0748592,0.0,0.978337,0.0,0.000572837,11.3517,0.0210901,1.95664,0.0809364,1.0
KJ002745,0.145411,0.123591,0.973298,0.12352,0.0071161,7.27147,0.0195858,1.29882,0.127214,1.0
JN613149,10.0,1.0,0.397697,0.925212,0.0,2805.61,0.602303,1.21785,0.134891,1.0
KJ002747,0.038898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205496,0.107152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119840,0.0288628,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017702,0.101711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF234617,0.0832987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,0.000133078,0.933742,0.933742,8.81748e-06,15.3244,0.0662491,0.0,1.0,1.0
GU123626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node14,0.0888437,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0182516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.184742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node19,0.274516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node13,0.148554,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.133855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.102963,0.103718,0.518485,0.920133,0.0,0.109205,0.481515,0.0,1.0,1.0
Node7,0.10995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.38476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
