Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
KJ002745,0.224876,0.172398,0.87455,0.168279,0.0474628,3333.11,0.077987,8.35407,0.00192413,0.0711927
Node31,0.11604,0.0149914,0.962991,0.049042,0.0269187,85.0459,0.0100903,8.23464,0.00205492,0.0739771
Node1,0.270393,0.0,0.888291,0.0,0.00100869,2.99057,0.1107,1.61911,0.101608,1.0
GU123627,0.0718863,0.0,0.974222,0.0,0.00338067,8.1117,0.0223971,1.41141,0.117411,1.0
JN613149,10.0,1.0,0.644153,0.999183,0.0,958.409,0.355847,1.16952,0.13975,1.0
JX205496,0.108211,0.0933532,0.986327,0.981212,0.0,2.55953,0.0136728,0.029186,0.432175,1.0
KJ819938,4.1151,1.0,0.304414,0.999183,0.0,12.2511,0.695586,0.0131235,0.454398,1.0
DQ017702,0.0959785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ819939,0.181996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002746,0.0178723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node11,0.256976,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GU123626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX050151,10.0,6.17686e-05,0.918566,0.918566,5.03006e-06,12.7954,0.0814288,0.0,1.0,1.0
Node14,0.0880656,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node10,0.152169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AF234617,0.0803996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node9,0.142046,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node7,0.108186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002747,0.0385117,0.038516,0.572552,0.914122,0.0,0.0396511,0.427448,0.0,1.0,1.0
Node21,0.261926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ119840,0.0257252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node20,0.107787,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node6,0.0475726,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node5,0.0961253,0.0536466,0.910427,1.0,0.0895732,0.233313,0.0,0.0,1.0,1.0
DQ119841,0.171228,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JX205497,0.112698,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node28,0.114757,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node4,0.0302608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
DQ017703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EF535599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node3,0.437899,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JN983500,0.0995737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Node2,0.753763,0.743252,0.288036,0.737965,0.711964,1.61193,0.0,0.0,1.0,1.0
JN613150,0.179921,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
KJ002748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
