Branch,Mean omega,omega1,p1,omega2,p2,omega3,p3,LRT,p-value,Corrected p-value
Node14,0.135144,0.0,0.97646,0.0,0.000181563,16.1763,0.023358,5.05835,0.0122538,0.845509
Node13,0.0942633,0.063031,0.990974,0.0627131,0.00119566,1466.22,0.00782999,2.48624,0.0574229,1.0
KF673857,0.0926872,0.0,0.981925,0.0,0.00995761,13.0561,0.00811744,2.45186,0.0586929,1.0
Node42,0.0830202,0.0595866,0.987147,0.0590715,0.000121203,39.2606,0.0127313,2.02377,0.0774269,1.0
Node4,0.319672,0.15783,0.871862,2.0e-07,5.12554e-05,5.77347,0.128087,1.77023,0.0916769,1.0
Node28,0.123814,0.0740556,0.941392,0.0728231,0.0405915,17.0263,0.0180161,1.53618,0.107593,1.0
JX255735,0.383839,0.0,0.903968,0.878453,0.0,6.26283,0.0960319,1.50149,0.110221,1.0
KJ002729,0.130333,0.110623,0.965247,0.107878,0.00152228,11.7875,0.0332311,1.25629,0.131177,1.0
Node22,10.0,1.0,0.321867,1.0,0.214568,24.3868,0.463566,1.01844,0.156444,1.0
Node3,0.12417,0.116807,0.966446,0.123211,0.00962177,530.563,0.0239322,0.970565,0.16227,1.0
KC148540,0.110118,0.103988,0.989158,0.103726,0.00195496,11.1483,0.00888678,0.804514,0.184874,1.0
Node60,0.249366,0.204782,0.99072,0.204033,0.0,1466.71,0.00927997,0.749881,0.193257,1.0
Node49,10.0,1.0,0.388291,1.0,0.0304137,5589.26,0.581295,0.63274,0.213176,1.0
HM208534,10.0,1.0,0.0244256,0.195834,0.0,85.3331,0.975574,0.631273,0.213444,1.0
Node5,0.162069,0.0,0.82134,0.0,0.014286,2.79434,0.164374,0.525279,0.234299,1.0
Node53,0.126127,0.0723088,0.985439,0.892463,0.0,3334.7,0.0145612,0.456629,0.249602,1.0
KJ002734,0.0562002,0.0334159,0.975885,0.0334724,0.000645306,2.95315,0.0234699,0.436853,0.254323,1.0
Node25,0.832992,0.523298,0.949622,0.744418,0.000319953,28.3734,0.0500579,0.320455,0.285667,1.0
AF198175,0.130513,0.0,0.893572,0.955674,0.0,1.31788,0.106428,0.0607858,0.402629,1.0
Node37,0.380073,0.47596,0.957713,0.511504,0.0288457,8.17343,0.0134412,0.0562313,0.406277,1.0
JQ776636,10.0,1.0,0.718323,0.950953,0.0,38.0671,0.281677,0.0300459,0.431193,1.0
